algorithm,n,time
three-quadratic,235,0.054100990295410156
three-quadratic,235,0.054284095764160156
three-quadratic,235,0.05380105972290039
three-quadratic,235,0.05513477325439453
three-quadratic,332,0.05587506294250488
three-quadratic,332,0.055683135986328125
three-quadratic,332,0.05499982833862305
three-quadratic,332,0.05530405044555664
three-quadratic,332,0.055452823638916016
three-quadratic,468,0.05614113807678223
three-quadratic,468,0.056765079498291016
three-quadratic,468,0.05698680877685547
three-quadratic,468,0.05577707290649414
three-quadratic,468,0.055899858474731445
three-quadratic,660,0.06948089599609375
three-quadratic,660,0.058412790298461914
three-quadratic,660,0.06969022750854492
three-quadratic,660,0.05849504470825195
three-quadratic,660,0.05795407295227051
three-quadratic,931,0.07384777069091797
three-quadratic,931,0.07186317443847656
three-quadratic,931,0.07098603248596191
three-quadratic,931,0.07754802703857422
three-quadratic,931,0.0773019790649414
three-quadratic,1313,0.07576966285705566
three-quadratic,1313,0.07622313499450684
three-quadratic,1313,0.07358312606811523
three-quadratic,1313,0.07490301132202148
three-quadratic,1313,0.07387804985046387
three-quadratic,1852,0.07871103286743164
three-quadratic,1852,0.07817792892456055
three-quadratic,1852,0.0791177749633789
three-quadratic,1852,0.07633113861083984
three-quadratic,1852,0.07841205596923828
three-quadratic,2611,0.08566093444824219
three-quadratic,2611,0.0850210189819336
three-quadratic,2611,0.07646703720092773
three-quadratic,2611,0.07813692092895508
three-quadratic,2611,0.0741581916809082
three-quadratic,3682,0.08152985572814941
three-quadratic,3682,0.06957221031188965
three-quadratic,3682,0.0826570987701416
three-quadratic,3682,0.08032011985778809
three-quadratic,3682,0.08382225036621094
three-quadratic,5192,0.07904624938964844
three-quadratic,5192,0.07794308662414551
three-quadratic,5192,0.0776369571685791
three-quadratic,5192,0.07782196998596191
three-quadratic,5192,0.07841897010803223
three-quadratic,7321,0.10560202598571777
three-quadratic,7321,0.08725523948669434
three-quadratic,7321,0.08221101760864258
three-quadratic,7321,0.08733510971069336
three-quadratic,7321,0.08459925651550293
three-quadratic,10323,0.10474228858947754
three-quadratic,10323,0.1102290153503418
three-quadratic,10323,0.10120201110839844
three-quadratic,10323,0.1078181266784668
three-quadratic,10323,0.09824395179748535
three-quadratic,14556,0.12206006050109863
three-quadratic,14556,0.1220390796661377
three-quadratic,14556,0.12349295616149902
three-quadratic,14556,0.13156580924987793
three-quadratic,14556,0.12430000305175781
three-quadratic,20525,0.17002010345458984
three-quadratic,20525,0.16851305961608887
three-quadratic,20525,0.17501592636108398
three-quadratic,20525,0.17429614067077637
three-quadratic,20525,0.17002606391906738
three-quadratic,28940,0.2630150318145752
three-quadratic,28940,0.26595401763916016
three-quadratic,28940,0.25722694396972656
three-quadratic,28940,0.2565271854400635
three-quadratic,28940,0.25865793228149414
three-quadratic,40805,0.4373619556427002
three-quadratic,40805,0.43004322052001953
three-quadratic,40805,0.4227299690246582
three-quadratic,40805,0.42615175247192383
three-quadratic,40805,0.4271690845489502
three-quadratic,57536,0.7436239719390869
three-quadratic,57536,0.7404611110687256
three-quadratic,57536,0.7368350028991699
three-quadratic,57536,0.7348489761352539
three-quadratic,57536,0.74288010597229
three-quadratic,81126,1.352370023727417
three-quadratic,81126,1.3178613185882568
three-quadratic,81126,1.322295904159546
three-quadratic,81126,1.321249008178711
three-quadratic,81126,1.3241052627563477
three-quadratic,114387,2.5484509468078613
three-quadratic,114387,2.5619049072265625
three-quadratic,114387,2.5736281871795654
three-quadratic,114387,2.5672221183776855
three-quadratic,114387,2.560908079147339
three-quadratic,161286,4.944302082061768
three-quadratic,161286,4.963568925857544
three-quadratic,161286,4.914859056472778
three-quadratic,161286,4.946885108947754
three-quadratic,161286,4.927142858505249
three-quadratic,227414,9.53630018234253
three-quadratic,227414,9.562803030014038
three-quadratic,227414,9.538870096206665
three-quadratic,227414,9.557134866714478
three-quadratic,227414,9.556164264678955
three-quadratic,320654,18.876566171646118
three-quadratic,320654,18.863322019577026
three-quadratic,320654,18.827615976333618
three-quadratic,320654,18.822540998458862
three-quadratic,320654,18.831782341003418
three-hashmap,30,0.05255889892578125
three-hashmap,30,0.05181527137756348
three-hashmap,30,0.05103325843811035
three-hashmap,30,0.05092287063598633
three-hashmap,30,0.05093026161193848
three-hashmap,42,0.052941083908081055
three-hashmap,42,0.0535433292388916
three-hashmap,42,0.0528719425201416
three-hashmap,42,0.05440115928649902
three-hashmap,42,0.052616119384765625
three-hashmap,59,0.05196499824523926
three-hashmap,59,0.0532071590423584
three-hashmap,59,0.05222296714782715
three-hashmap,59,0.05297493934631348
three-hashmap,59,0.05393719673156738
three-hashmap,84,0.05303215980529785
three-hashmap,84,0.05221700668334961
three-hashmap,84,0.05236387252807617
three-hashmap,84,0.05326533317565918
three-hashmap,84,0.054286956787109375
three-hashmap,118,0.05302596092224121
three-hashmap,118,0.053429603576660156
three-hashmap,118,0.05377388000488281
three-hashmap,118,0.05499696731567383
three-hashmap,118,0.05616593360900879
three-hashmap,167,0.0692589282989502
three-hashmap,167,0.06804013252258301
three-hashmap,167,0.06991410255432129
three-hashmap,167,0.06893491744995117
