algorithm,n,time
three-cubic,2611,0.6627061367034912
three-cubic,2611,0.6603572368621826
three-cubic,3682,1.9726347923278809
three-cubic,3682,1.6598820686340332
three-cubic,3682,1.6649479866027832
three-cubic,3682,1.6621599197387695
three-cubic,3682,1.66215181350708
three-cubic,5192,4.450129985809326
three-cubic,5192,4.448357105255127
three-cubic,5192,4.4525110721588135
three-cubic,5192,4.483219861984253
three-cubic,5192,4.64787220954895
three-cubic,7321,12.744472026824951
three-cubic,7321,12.297173976898193
three-cubic,7321,12.191817045211792
three-cubic,7321,12.25786805152893
three-cubic,7321,12.239236116409302
three-quadratic,30,0.06328225135803223
three-quadratic,30,0.06351304054260254
three-quadratic,30,0.0621638298034668
three-quadratic,30,0.06397104263305664
three-quadratic,30,0.06459283828735352
three-quadratic,42,0.06512284278869629
three-quadratic,42,0.06276607513427734
three-quadratic,42,0.06035113334655762
three-quadratic,42,0.06102180480957031
three-quadratic,42,0.06055402755737305
three-quadratic,59,0.06173419952392578
three-quadratic,59,0.06098818778991699
three-quadratic,59,0.06006789207458496
three-quadratic,59,0.0599212646484375
three-quadratic,59,0.06845712661743164
three-quadratic,84,0.061437368392944336
three-quadratic,84,0.061776161193847656
three-quadratic,84,0.05990290641784668
three-quadratic,84,0.057687997817993164
three-quadratic,84,0.05853414535522461
three-quadratic,118,0.05926990509033203
three-quadratic,118,0.058667898178100586
three-quadratic,118,0.058861732482910156
three-quadratic,118,0.05909991264343262
three-quadratic,118,0.05938100814819336
three-quadratic,167,0.059905052185058594
three-quadratic,167,0.05973196029663086
three-quadratic,167,0.05945110321044922
three-quadratic,167,0.05931377410888672
three-quadratic,167,0.05913901329040527
three-quadratic,235,0.05997896194458008
three-quadratic,235,0.06133413314819336
three-quadratic,235,0.060160160064697266
three-quadratic,235,0.06001091003417969
three-quadratic,235,0.06078505516052246
three-quadratic,332,0.061630964279174805
three-quadratic,332,0.06165909767150879
three-quadratic,332,0.06128883361816406
three-quadratic,332,0.06441020965576172
three-quadratic,332,0.06002998352050781
three-quadratic,468,0.06256794929504395
three-quadratic,468,0.06207609176635742
three-quadratic,468,0.07394790649414062
three-quadratic,468,0.06605815887451172
three-quadratic,468,0.07457923889160156
three-quadratic,660,0.08190011978149414
three-quadratic,660,0.07805180549621582
three-quadratic,660,0.0761411190032959
three-quadratic,660,0.07749104499816895
three-quadratic,660,0.07617926597595215
three-quadratic,931,0.07942771911621094
three-quadratic,931,0.07726597785949707
three-quadratic,931,0.07912087440490723
three-quadratic,931,0.07916998863220215
three-quadratic,931,0.08292889595031738
three-quadratic,1313,0.08483481407165527
three-quadratic,1313,0.08562994003295898
three-quadratic,1313,0.08484244346618652
three-quadratic,1313,0.08283615112304688
three-quadratic,1313,0.08479714393615723
three-quadratic,1852,0.08882474899291992
three-quadratic,1852,0.0755610466003418
three-quadratic,1852,0.08760690689086914
three-quadratic,1852,0.08573508262634277
three-quadratic,1852,0.07465291023254395
three-quadratic,2611,0.09010195732116699
three-quadratic,2611,0.07601690292358398
three-quadratic,2611,0.07704305648803711
three-quadratic,2611,0.08748793601989746
three-quadratic,2611,0.08998227119445801
three-quadratic,3682,0.08533096313476562
three-quadratic,3682,0.08107709884643555
three-quadratic,3682,0.07909393310546875
three-quadratic,3682,0.08002209663391113
three-quadratic,3682,0.07833480834960938
three-quadratic,5192,0.0837562084197998
three-quadratic,5192,0.08270096778869629
three-quadratic,5192,0.08183503150939941
three-quadratic,5192,0.08064484596252441
three-quadratic,5192,0.08280587196350098
three-quadratic,7321,0.09025692939758301
three-quadratic,7321,0.08981513977050781
three-quadratic,7321,0.09270215034484863
three-quadratic,7321,0.09213614463806152
three-quadratic,7321,0.09214305877685547
three-quadratic,10323,0.10393977165222168
three-quadratic,10323,0.10404515266418457
three-quadratic,10323,0.10751700401306152
three-quadratic,10323,0.10742616653442383
three-quadratic,10323,0.10669922828674316
three-quadratic,14556,0.1355750560760498
three-quadratic,14556,0.1405789852142334
three-quadratic,14556,0.14171910285949707
three-quadratic,14556,0.1403951644897461
three-quadratic,14556,0.1442708969116211
three-quadratic,20525,0.1775350570678711
three-quadratic,20525,0.18195581436157227
three-quadratic,20525,0.1850721836090088
three-quadratic,20525,0.18036603927612305
three-quadratic,20525,0.17672300338745117
three-quadratic,28940,0.27962398529052734
three-quadratic,28940,0.2605578899383545
three-quadratic,28940,0.264570951461792
three-quadratic,28940,0.26861119270324707
three-quadratic,28940,0.27308106422424316
three-quadratic,40805,0.41675591468811035
three-quadratic,40805,0.41588926315307617
three-quadratic,40805,0.413053035736084
three-quadratic,40805,0.41658902168273926
three-quadratic,40805,0.4275798797607422
three-quadratic,57536,0.7280771732330322
three-quadratic,57536,0.7229640483856201
three-quadratic,57536,0.7235310077667236
three-quadratic,57536,0.7300431728363037
three-quadratic,57536,0.7418599128723145
three-quadratic,81126,1.3556370735168457
three-quadratic,81126,1.4056000709533691
three-quadratic,81126,1.4119248390197754
three-quadratic,81126,1.3551502227783203
three-quadratic,81126,1.3580949306488037
three-quadratic,114387,2.5381240844726562
three-quadratic,114387,2.529867172241211
three-quadratic,114387,2.576164960861206
three-quadratic,114387,2.550848960876465
three-quadratic,114387,2.5396323204040527
three-quadratic,161286,5.087276935577393
three-quadratic,161286,4.94907021522522
three-quadratic,161286,5.0073158740997314
three-quadratic,161286,4.942248106002808
three-quadratic,161286,4.933551788330078
three-quadratic,227414,9.637546062469482
three-quadratic,227414,9.934638977050781
three-quadratic,227414,9.615472078323364
three-quadratic,227414,9.62018084526062
three-quadratic,227414,9.65005111694336
three-quadratic,320654,18.887590885162354
three-quadratic,320654,19.074870109558105
three-quadratic,320654,18.82728385925293
three-quadratic,320654,18.8248450756073
three-quadratic,320654,18.83035922050476
